Image,Caption,Rights
urn:cite:cp:cpgraec47img.cpgraec47_img7,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 1, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img8,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 1, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img9,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 2, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img10,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 2, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img11,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 3, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img12,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 3, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img13,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 4, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img14,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 4, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img15,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 5, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img16,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 5, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img17,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 6, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img18,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 6, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img19,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 7, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img20,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 7, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img21,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 8, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img22,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 8, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img23,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 9, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img24,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 9, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img25,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 10, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img26,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 10, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img27,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 11, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img28,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 11, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img29,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 12, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img30,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 12, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img31,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 13, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img32,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 13, verso","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
urn:cite:cp:cpgraec47img.cpgraec47_img33,"Universitätsbibliothek Heidelberg, Codex Palatinus graecus 47, folio 14, recto","Image provided by the Universitätsbibliothek Heidelberg under the terms of the Creative Commons license CC-BY-SA 3.0 DE"
